time since start in seconds,Sensor on channel 0 Pressure (mbar),Sensor on channel 0 Temperature (C)
0,1040.53,22.62
120,1034.06,22.24
240,1028.22,21.88
360,1024.46,21.65
480,1021.56,21.48
600,1018.04,21.36
720,1015.30,21.26
840,1013.14,21.19
960,1010.96,21.13
1080,1009.20,21.09
1200,1007.58,21.06
1320,1005.96,21.02
1440,1004.56,20.99
1560,1003.58,20.97
1680,1002.42,20.93
1800,1001.54,20.92
1920,1000.44,20.88
2040,999.62,20.87
2160,999.14,20.85
2280,998.80,20.83
2400,998.06,20.81
2520,997.72,20.80
2640,997.14,20.79
2760,996.66,20.77
2880,996.06,20.74
3000,995.86,20.72
3120,995.64,20.71
3240,995.22,20.67
3360,994.98,20.65
3480,994.94,20.63
3600,994.34,20.62
3720,994.08,20.59
3840,993.88,20.57
3960,993.78,20.55
4080,993.40,20.53
4200,993.24,20.52
4320,992.82,20.51
4440,992.76,20.50
4560,993.02,20.49
4680,992.56,20.49
4800,992.30,20.47
4920,992.34,20.46
5040,992.30,20.44
5160,991.94,20.43
5280,991.78,20.42
5400,991.92,20.42
5520,991.84,20.44
5640,991.66,20.43
5760,991.58,20.42
5880,991.38,20.42
6000,991.24,20.40
6120,991.20,20.40
6240,991.26,20.41
6360,991.30,20.45
6480,991.38,20.48
6600,991.42,20.50
6720,991.40,20.51
6840,991.26,20.51
6960,991.30,20.48
7080,991.42,20.46
7200,991.18,20.45
7320,990.98,20.45
7440,990.96,20.45
7560,991.08,20.45
7680,990.94,20.43
7800,991.00,20.40
7920,990.88,20.39
8040,990.92,20.37
8160,990.76,20.35
8280,990.38,20.32
8400,990.40,20.28
8520,990.48,20.27
8640,990.26,20.23
8760,990.04,20.21
8880,990.04,20.18
9000,989.70,20.16
9120,989.66,20.13
9240,989.58,20.12
9360,989.40,20.11
9480,989.40,20.10
9600,989.04,20.09
9720,989.08,20.09
9840,989.08,20.07
9960,988.98,20.08
10080,988.88,20.07
10200,988.96,20.05
10320,988.78,20.06
10440,988.58,20.06
10560,988.50,20.06
10680,988.42,20.08
10800,988.28,20.09
10920,988.34,20.11
11040,988.76,20.11
