time since start in seconds,Sensor on channel 0 Pressure (mbar),Sensor on channel 1 Pressure (mbar),Sensor on channel 0 Temperature (C),Sensor on channel 1 Temperature (C)
0,1028.78,1065.83,21.75,21.53
120,1027.70,1065.32,21.54,21.35
240,1027.58,1065.14,21.35,21.16
360,1027.60,1064.70,21.23,21.03
480,1028.00,1064.52,21.14,20.95
600,1027.64,1064.32,21.08,20.89
720,1027.58,1064.16,21.01,20.81
840,1026.98,1064.42,20.96,20.78
960,1026.74,1064.36,20.94,20.75
1080,1026.88,1064.50,20.91,20.73
1200,1026.84,1064.84,20.94,20.76
1320,1026.98,1065.04,20.96,20.80
1440,1027.22,1065.32,20.98,20.82
1560,1027.26,1065.36,20.95,20.80
1680,1027.16,1065.78,20.99,20.83
1800,1026.88,1066.00,20.98,20.84
1920,1027.00,1066.32,21.00,20.86
2040,1026.96,1066.52,21.02,20.88
2160,1027.08,1066.76,21.05,20.92
2280,1026.98,1067.06,21.05,20.94
2400,1027.06,1067.20,21.06,20.96
2520,1027.12,1067.78,21.08,20.98
2640,1027.26,1067.84,21.10,21.01
2760,1027.34,1067.84,21.09,21.01
2880,1027.46,1068.12,21.10,21.02
3000,1027.40,1068.32,21.10,21.03
3120,1027.56,1068.42,21.09,21.03
3240,1027.32,1068.40,21.07,21.01
3360,1027.38,1068.54,21.08,21.03
3480,1027.34,1068.54,21.07,21.02
3600,1027.44,1068.30,21.07,21.03
3720,1027.66,1068.44,21.09,21.05
3840,1027.78,1068.44,21.12,21.08
3960,1027.96,1068.32,21.15,21.10
4080,1028.10,1068.42,21.16,21.12
4200,1028.24,1068.34,21.18,21.15
4320,1028.32,1067.82,21.19,21.15
4440,1028.38,1067.86,21.18,21.14
4560,1028.44,1067.62,21.19,21.16
4680,1028.24,1067.30,21.18,21.15
4800,1028.20,1067.12,21.17,21.17
4920,1028.26,1066.86,21.13,21.14
5040,1028.26,1066.58,21.10,21.12
5160,1028.28,1066.28,21.08,21.09
5280,1028.36,1066.16,21.06,21.09
5400,1028.18,1065.80,21.06,21.08
5520,1028.06,1065.84,21.05,21.07
5640,1028.16,1065.40,21.05,21.06
5760,1028.14,1065.22,21.04,21.05
5880,1028.08,1065.14,21.03,21.05
6000,1028.04,1065.16,21.03,21.06
6120,1028.20,1065.02,21.02,21.06
6240,1027.92,1064.56,21.00,21.05
6360,1027.98,1064.44,20.99,21.04
6480,1028.02,1064.18,20.99,21.04
6600,1028.16,1064.04,20.98,21.04
6720,1028.28,1064.06,20.98,21.04
6840,1028.28,1064.08,20.98,21.03
6960,1028.18,1064.02,20.96,21.00
7080,1028.22,1064.02,20.97,21.01
7200,1028.22,1064.06,20.97,21.02
7320,1028.16,1064.24,20.95,21.00
7440,1028.22,1064.30,20.92,20.98
7560,1028.24,1064.08,20.95,20.99
7680,1028.42,1064.08,20.99,21.03
7800,1028.22,1064.00,20.97,21.01
7920,1028.18,1063.74,20.93,20.98
8040,1027.90,1063.34,20.89,20.93
8160,1027.58,1063.26,20.86,20.91
8280,1027.62,1062.96,20.84,20.88
8400,1027.56,1062.66,20.81,20.87
8520,1027.34,1062.42,20.79,20.85
8640,1027.26,1062.38,20.77,20.83
8760,1027.32,1062.28,20.76,20.82
8880,1027.26,1061.92,20.74,20.80
9000,1027.34,1061.94,20.73,20.78
9120,1027.06,1061.68,20.71,20.76
9240,1027.10,1061.48,20.71,20.75
9360,1027.06,1061.38,20.70,20.74
9480,1026.92,1061.40,20.68,20.73
9600,1026.86,1061.18,20.66,20.72
9720,1026.84,1060.98,20.65,20.71
9840,1026.62,1061.00,20.65,20.70
9960,1026.58,1060.70,20.63,20.67
10080,1026.66,1060.78,20.63,20.67
10200,1026.62,1060.54,20.61,20.67
10320,1026.68,1060.44,20.60,20.66
10440,1026.50,1060.64,20.59,20.65
10560,1026.52,1060.48,20.58,20.65
10680,1026.68,1060.28,20.58,20.64
10800,1026.58,1060.10,20.56,20.62
10920,1026.52,1059.72,20.54,20.59
11040,1026.50,1059.62,20.54,20.60
11160,1026.46,1059.48,20.55,20.60
11280,1026.52,1059.40,20.54,20.58
11400,1026.42,1059.44,20.53,20.57
11520,1026.28,1059.22,20.51,20.56
11640,1026.24,1059.04,20.50,20.55
11760,1026.22,1058.98,20.48,20.54
11880,1026.22,1059.00,20.49,20.55
12000,1026.20,1058.84,20.49,20.54
12120,1026.28,1058.74,20.49,20.54
12240,1026.42,1058.74,20.49,20.55
12360,1026.34,1058.78,20.48,20.54
12480,1026.28,1058.84,20.48,20.54
12600,1026.32,1058.92,20.47,20.54
12720,1026.20,1058.50,20.46,20.54
12840,1026.16,1058.66,20.47,20.55
12960,1026.38,1058.54,20.48,20.56
13080,1026.12,1058.62,20.48,20.55
13200,1026.08,1058.42,20.45,20.53
13320,1026.04,1058.28,20.44,20.51
13440,1026.22,1058.18,20.44,20.51
13560,1026.42,1058.24,20.47,20.53
13680,1026.40,1058.46,20.50,20.56
13800,1026.38,1058.30,20.49,20.55
13920,1026.48,1058.18,20.48,20.54
14040,1026.46,1058.04,20.45,20.51
14160,1026.30,1057.82,20.44,20.49
14280,1026.20,1057.80,20.44,20.49
14400,1026.24,1057.52,20.42,20.48
14520,1026.22,1057.46,20.41,20.47
14640,1026.26,1057.44,20.41,20.46
14760,1026.22,1057.60,20.41,20.47
14880,1026.20,1057.52,20.42,20.48
15000,1026.20,1057.52,20.44,20.51
15120,1026.22,1057.54,20.43,20.49
15240,1026.24,1057.26,20.43,20.49
15360,1026.28,1057.38,20.43,20.50
15480,1026.24,1057.40,20.43,20.50
15600,1026.10,1057.42,20.40,20.48
15720,1026.00,1057.18,20.39,20.46
15840,1026.12,1057.10,20.39,20.46
15960,1026.12,1057.14,20.37,20.46
16080,1026.04,1056.88,20.35,20.44
16200,1025.98,1056.72,20.34,20.42
16320,1025.96,1056.90,20.35,20.43
16440,1026.08,1056.94,20.36,20.43
16560,1026.00,1056.68,20.35,20.42
16680,1025.92,1056.60,20.35,20.42
16800,1026.02,1056.48,20.34,20.41
16920,1026.14,1056.40,20.35,20.42
17040,1026.10,1056.40,20.34,20.41
17160,1026.02,1056.38,20.34,20.41
17280,1026.06,1056.24,20.33,20.40
17400,1025.80,1056.12,20.31,20.39
17520,1025.84,1056.02,20.31,20.38
17640,1025.84,1056.10,20.30,20.37
17760,1025.62,1056.10,20.28,20.36
17880,1025.80,1055.92,20.28,20.36
18000,1025.82,1055.86,20.28,20.35
18120,1025.86,1055.82,20.28,20.35
18240,1025.82,1055.80,20.28,20.37
18360,1025.92,1055.72,20.29,20.37
18480,1025.64,1055.72,20.27,20.34
18600,1025.84,1055.46,20.27,20.34
18720,1025.46,1055.28,20.24,20.31
18840,1025.80,1055.44,20.26,20.33
18960,1025.92,1055.54,20.28,20.35
19080,1025.96,1055.56,20.30,20.37
19200,1025.92,1055.56,20.30,20.37
19320,1025.92,1055.48,20.31,20.37
19440,1026.08,1055.50,20.33,20.38
19560,1026.20,1055.64,20.35,20.40
19680,1026.20,1055.72,20.37,20.42
19800,1026.16,1055.82,20.40,20.45
19920,1026.28,1055.74,20.42,20.47
20040,1026.74,1055.96,20.45,20.51
20160,1026.80,1056.12,20.46,20.52
20280,1026.92,1056.04,20.49,20.53
20400,1026.88,1056.10,20.50,20.55
20520,1027.00,1056.08,20.53,20.56
20640,1027.04,1056.28,20.55,20.59
